,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
97,XC,Euro area,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,,
98,XC,Euro area,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,,
99,XC,Euro area,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,,
100,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2025,92.4,Aggregates,Aggregates,,
101,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2024,90.9,Aggregates,Aggregates,,
102,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2023,89.6,Aggregates,Aggregates,,
103,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2022,87.9,Aggregates,Aggregates,,
104,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2021,86.3,Aggregates,Aggregates,,
105,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2020,83.4,Aggregates,Aggregates,,
106,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2019,80.3,Aggregates,Aggregates,,
107,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2018,78.1,Aggregates,Aggregates,,
108,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2017,74.5,Aggregates,Aggregates,,
109,Z7,Europe & Central Asia,Individuals using the Internet (% of population),2016,72.3,Aggregates,Aggregates,,
110,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2025,87.5,Aggregates,Aggregates,,
111,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2024,85.8,Aggregates,Aggregates,,
112,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2023,84.6,Aggregates,Aggregates,,
113,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2022,82.0,Aggregates,Aggregates,,
114,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2021,79.1,Aggregates,Aggregates,,
115,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2020,74.5,Aggregates,Aggregates,,
116,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2019,70.3,Aggregates,Aggregates,,
117,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2018,65.8,Aggregates,Aggregates,,
118,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2017,60.6,Aggregates,Aggregates,,
119,7E,Europe & Central Asia (excluding high income),Individuals using the Internet (% of population),2016,56.2,Aggregates,Aggregates,,
120,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2025,90.8,Aggregates,Aggregates,,
121,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2024,88.9,Aggregates,Aggregates,,
122,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2023,87.3,Aggregates,Aggregates,,
123,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2022,85.2,Aggregates,Aggregates,,
124,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2021,82.6,Aggregates,Aggregates,,
125,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2020,78.6,Aggregates,Aggregates,,
126,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2019,75.2,Aggregates,Aggregates,,
127,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2018,71.8,Aggregates,Aggregates,,
128,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2017,67.0,Aggregates,Aggregates,,
129,T7,Europe & Central Asia (IDA & IBRD countries),Individuals using the Internet (% of population),2016,63.3,Aggregates,Aggregates,,
130,EU,European Union,Individuals using the Internet (% of population),2025,,Aggregates,Aggregates,,
131,EU,European Union,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,,
132,EU,European Union,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,,
133,EU,European Union,Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,,
134,EU,European Union,Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,,
135,EU,European Union,Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,,
136,EU,European Union,Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,,
137,EU,European Union,Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,,
138,EU,European Union,Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,,
139,EU,European Union,Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,,
140,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2025,,Aggregates,Aggregates,,
141,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,,
142,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,,
143,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2022,,Aggregates,Aggregates,,
144,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2021,,Aggregates,Aggregates,,
145,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2020,,Aggregates,Aggregates,,
146,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2019,,Aggregates,Aggregates,,
147,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2018,,Aggregates,Aggregates,,
148,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2017,,Aggregates,Aggregates,,
149,XE,Heavily indebted poor countries (HIPC),Individuals using the Internet (% of population),2016,,Aggregates,Aggregates,,
150,XD,High income,Individuals using the Internet (% of population),2025,94.2,Aggregates,Aggregates,,
151,XD,High income,Individuals using the Internet (% of population),2024,93.0,Aggregates,Aggregates,,
152,XD,High income,Individuals using the Internet (% of population),2023,91.9,Aggregates,Aggregates,,
153,XD,High income,Individuals using the Internet (% of population),2022,91.0,Aggregates,Aggregates,,
154,XD,High income,Individuals using the Internet (% of population),2021,90.0,Aggregates,Aggregates,,
155,XD,High income,Individuals using the Internet (% of population),2020,88.4,Aggregates,Aggregates,,
156,XD,High income,Individuals using the Internet (% of population),2019,87.5,Aggregates,Aggregates,,
157,XD,High income,Individuals using the Internet (% of population),2018,86.3,Aggregates,Aggregates,,
158,XD,High income,Individuals using the Internet (% of population),2017,84.2,Aggregates,Aggregates,,
159,XD,High income,Individuals using the Internet (% of population),2016,82.5,Aggregates,Aggregates,,
160,XF,IBRD only,Individuals using the Internet (% of population),2025,82.7,Aggregates,Aggregates,,
161,XF,IBRD only,Individuals using the Internet (% of population),2024,79.9,Aggregates,Aggregates,,
162,XF,IBRD only,Individuals using the Internet (% of population),2023,77.3,Aggregates,Aggregates,,
163,XF,IBRD only,Individuals using the Internet (% of population),2022,74.4,Aggregates,Aggregates,,
164,XF,IBRD only,Individuals using the Internet (% of population),2021,70.3,Aggregates,Aggregates,,
165,XF,IBRD only,Individuals using the Internet (% of population),2020,65.4,Aggregates,Aggregates,,
166,XF,IBRD only,Individuals using the Internet (% of population),2019,56.3,Aggregates,Aggregates,,
167,XF,IBRD only,Individuals using the Internet (% of population),2018,50.3,Aggregates,Aggregates,,
168,XF,IBRD only,Individuals using the Internet (% of population),2017,46.6,Aggregates,Aggregates,,
169,XF,IBRD only,Individuals using the Internet (% of population),2016,43.2,Aggregates,Aggregates,,
170,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2025,70.3,Aggregates,Aggregates,,
171,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2024,67.7,Aggregates,Aggregates,,
172,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2023,65.5,Aggregates,Aggregates,,
173,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2022,63.0,Aggregates,Aggregates,,
174,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2021,59.3,Aggregates,Aggregates,,
175,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2020,55.1,Aggregates,Aggregates,,
176,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2019,47.8,Aggregates,Aggregates,,
177,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2018,42.9,Aggregates,Aggregates,,
178,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2017,39.5,Aggregates,Aggregates,,
179,ZT,IDA & IBRD total,Individuals using the Internet (% of population),2016,36.4,Aggregates,Aggregates,,
180,XH,IDA blend,Individuals using the Internet (% of population),2025,44.2,Aggregates,Aggregates,,
181,XH,IDA blend,Individuals using the Internet (% of population),2024,41.2,Aggregates,Aggregates,,
182,XH,IDA blend,Individuals using the Internet (% of population),2023,38.3,Aggregates,Aggregates,,
183,XH,IDA blend,Individuals using the Internet (% of population),2022,36.5,Aggregates,Aggregates,,
184,XH,IDA blend,Individuals using the Internet (% of population),2021,32.4,Aggregates,Aggregates,,
